Algiers	(36.752887, 3.0420480000000225)	undefined	Algiers, Algeria
Nagoya	(35.1814464, 136.90639799999997)	((35.0338752, 136.7918065), (35.2604518, 137.06092450000006))	Nagoya, Aichi Prefecture, Japan
Osaka	(34.6937378, 135.50216509999996)	((34.5861448, 135.37288739999997), (34.7687542, 135.5991672))	Osaka, Osaka Prefecture, Japan
Sapporo	(43.0620958, 141.3543763)	((42.7807268, 140.990501), (43.1897925, 141.50544909999996))	Sapporo, Hokkaido Prefecture, Japan
Tokyo	(35.6894875, 139.69170639999993)	((24.2242343, 138.94275800000003), (35.8986441, 153.9875217))	Tokyo, Japan
Yokohama	(35.4437078, 139.6380256)	((35.3126141, 139.4647973), (35.5928557, 139.72537439999996))	Yokohama, Kanagawa Prefecture, Japan
Almaty	(43.255058, 76.91262800000004)	((43.11050789999999, 76.78567900000007), (43.4194502, 77.14676859999997))	Almaty, Kazakhstan
Pyongyang	(39.031859, 125.75376499999993)	((38.9517987, 125.59089659999995), (39.1064777, 125.893327))	Pyongyang, North Korea
Busan	(35.1795543, 129.07564160000004)	((34.9835815, 128.787197), (35.3874414, 129.31004819999998))	Busan, South Korea
Daegu	(35.8714354, 128.601445)	((35.6071707, 128.3497208), (36.0172827, 128.7632175))	Daegu, South Korea
Daejeon	(36.3504119, 127.38454750000005)	((36.1833708, 127.24645009999995), (36.4999476, 127.5590436))	Daejeon, South Korea
Gwangju	(35.1595454, 126.85260119999998)	((35.0508149, 126.64490350000005), (35.2589426, 127.02294129999996))	Gwangju, South Korea
Incheon	(37.4562557, 126.70520620000002)	((37.0063057, 124.60813910000002), (37.982666, 126.79362719999995))	Incheon, South Korea
Seoul	(37.566535, 126.97796919999996)	((37.4259627, 126.7645827), (37.7017495, 127.18358990000002))	Seoul, South Korea
Kuala Lumpur	(3.139003, 101.68685499999992)	((3.0327539, 101.61520189999999), (3.245252, 101.758509))	Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia
Mexico City	(19.4326077, -99.13320799999997)	((19.0482787, -99.36418349999997), (19.5919189, -98.94018549999998))	Mexico City, Distrito Federal, Mexico
Casablanca	(33.5333333, -7.583333300000049)	((33.495279, -7.716507399999955), (33.6486264, -7.458275700000058))	Casablanca, Morocco
Amsterdam	(52.3702157, 4.895167899999933)	((52.3182742, 4.728855800000019), (52.4309497, 5.068390300000033))	Amsterdam, The Netherlands
Rotterdam	(51.92421599999999, 4.481775999999968)	((51.8616338, 4.379512200000022), (51.9943107, 4.601300400000014))	Rotterdam, The Netherlands
Oslo	(59.9138688, 10.752245399999993)	((59.8096749, 10.622568900000033), (59.978035, 10.947664199999963))	Oslo, Norway
Lima	(-12.0478158, -77.06220280000002)	((-12.0798252, -77.08833950000002), (-12.0308632, -77.00203110000001))	Lima, Peru
Manila	(14.5995124, 120.9842195)	((14.5541555, 120.93323800000007), (14.6396454, 121.0261686))	Manila, Philippines
Manila	(14.5995124, 120.9842195)	((14.5541555, 120.93323800000007), (14.6396454, 121.0261686))	Manila, Philippines
Warsaw	(52.2296756, 21.012228700000037)	((52.09787679999999, 20.851290000000063), (52.3679991, 21.27109859999996))	Warsaw, Poland
Lisbon	(38.7252993, -9.150036399999976)	((38.6913994, -9.229835600000001), (38.7958538, -9.090571899999986))	Lisbon, Portugal
Bucharest	(44.43771100000001, 26.097366899999997)	((44.33459269999999, 25.964062199999944), (44.5420065, 26.225898099999995))	Bucharest, Romania
Kazan	(55.7949414, 49.10504449999996)	((55.6697, 48.83189219999997), (55.93800299999999, 49.32730570000001))	Kazan, Republic of Tatarstan, Russia
Moscow	(55.7512419, 37.6184217)	((55.4905199, 37.13032109999995), (56.021369, 37.96509089999995))	Moscow, Russia
Nizhny Novgorod	(56.3278517, 44.000685100000055)	((56.1559743, 43.549068600000055), (56.4210283, 44.15578759999994))	Nizhny Novgorod, Nizhny Novgorod Oblast, Russia
Novosibirsk	(55.0300636, 82.9199423)	((54.8035232, 82.74823119999996), (55.2003457, 83.16437240000005))	Novosibirsk, Novosibirsk Oblast, Russia
Saint Petersburg	(59.9395237, 30.312020599999983)	((59.6338661, 29.424819100000036), (60.24279119999999, 30.760028899999952))	St Petersburg, Russia
Samara	(53.1965645, 50.10337500000003)	((53.0916703, 49.987713100000065), (53.42982720000001, 50.38997789999996))	Samara, Samara Oblast, Russia
Yekaterinburg	(56.8375237, 60.603271800000016)	((56.6682539, 60.38081090000003), (56.9645265, 60.844358899999975))	Yekaterinburg, Sverdlovsk Oblast, Russia
Mecca	(21.4166667, 39.81666670000004)	((21.2790277, 39.69023530000004), (21.5930031, 40.00285789999998))	Mecca Saudi Arabia
Singapore	(1.352083, 103.81983600000001)	((1.166398, 103.60562460000006), (1.4708809, 104.08568049999997))	Singapore
Barcelona	(41.387917, 2.1699187000000393)	((41.3170475, 2.0524765000000116), (41.4682658, 2.226122000000032))	Barcelona, Province of Barcelona, Spain
Bilbao	(43.2569629, -2.9234409000000596)	((43.2136543, -2.9860102000000097), (43.2901452, -2.880324900000005))	Bilbao, Biscay, Spain
Madrid	(40.4166909, -3.70034540000006)	((40.3120713, -3.889004800000066), (40.6435181, -3.5180103000000145))	Madrid, Community of Madrid, Spain
Palma de Mallorca	(39.5695059, 2.6499659999999494)	((39.1250696, 2.5637824000000364), (39.6583262, 2.9761535000000094))	Palma, Balearic Islands, Spain
Seville	(37.38263999999999, -5.9962950999999975)	((37.3136098, -6.0284299999999575), (37.4527828, -5.818660000000023))	Seville, Spain
Valencia	(39.4702393, -0.37680490000002465)	((39.2783813, -0.432544699999994), (39.5665876, -0.2725130999999692))	Valencia, Province of Valencia, Spain
Stockholm	(59.32893000000001, 18.064910000000054)	((59.224443, 17.776862100000017), (59.42784089999999, 18.19822899999997))	Stockholm, Sweden
Lausanne	(46.5199617, 6.6335970999999745)	((46.5042984, 6.584149900000057), (46.60232999999999, 6.720839999999953))	Lausanne, Switzerland
Taipei	(25.091075, 121.55983449999997)	((24.9605084, 121.45706029999997), (25.2103038, 121.66594209999994))	Taipei City, Taiwan
Kaohsiung	(23.0108714, 120.66600440000002)	((22.4755962, 120.17469249999999), (23.4717267, 121.04901470000004))	Kaohsiung City, Taiwan
Bangkok	(13.7522222, 100.4938889)	((13.4940968, 100.32773680000003), (13.9551109, 100.93840769999997))	Bangkok, Thailand
Adana	(37, 35.32133329999999)	((36.9291371, 35.104075999999964), (37.065693, 35.472057800000016))	Adana/Adana Province, Turkey
Ankara	(39.92077, 32.85410999999999)	((39.730421, 32.52868990000002), (40.076332, 33.007056199999965))	Ankara/Ankara Province, Turkey
Bursa	(40.18257, 29.066869999999994)	((39.604213, 28.080408000000034), (40.613489, 29.97611710000001))	Bursa Province, Turkey
Istanbul	(41.00527, 28.976959999999963)	((40.811404, 28.595553900000027), (41.199239, 29.428805300000022))	Istanbul, Turkey
Izmir	(38.41885, 27.12871999999993)	((38.290113, 26.854949199999965), (38.5452371, 27.304485))	Izmir, Turkey
Dnipropetrovsk	(48.464717, 35.04618299999993)	((48.355729, 34.75797499999999), (48.56886799999999, 35.24273800000003))	Dnipropetrovs'k, Dnipropetrovs'ka oblast, Ukraine
Kharkiv	(49.9935, 36.230383000000074)	((49.8720971, 36.09128510000005), (50.1023101, 36.45492910000007))	Kharkiv, Kharkiv Oblast, Ukraine
Kiev	(50.4501, 30.523400000000038)	((50.213273, 30.239440100000024), (50.590798, 30.825941000000057))	Kiev, Kyiv city, Ukraine
Dubai	(25.271139, 55.30748500000004)	((24.7914099, 54.89599099999998), (25.356306, 55.563697700000034))	Dubai - United Arab Emirates
Glasgow	(55.864237, -4.251805999999988)	((55.7812791, -4.3932005000000345), (55.9296413, -4.0717167000000245))	Glasgow, Glasgow City, UK
London	(51.5073346, -0.12768310000001293)	((51.38494009999999, -0.351468299999965), (51.6723432, 0.14787969999997586))	London, UK
Newcastle	(54.978252, -1.6177800000000389)	((54.9594399, -1.7810816999999588), (55.0428754, -1.521351099999947))	Newcastle upon Tyne, Tyne and Wear, UK
Atlanta	(33.7489954, -84.3879824)	((33.6478079, -84.5518189), (33.8876179, -84.28938900000003))	Atlanta, GA, USA
Baltimore	(39.2903848, -76.61218930000001)	((39.1972069, -76.71151909999998), (39.3722059, -76.5294528))	Baltimore, MD, USA
Boston	(42.3584308, -71.0597732)	((42.22788, -71.19111299999997), (42.3988669, -70.92320110000003))	Boston, MA, USA
Chicago	(41.8781136, -87.62979819999998)	((41.6443349, -87.94026689999998), (42.023131, -87.524044))	Chicago, IL, USA
Cleveland	(41.4994954, -81.6954088)	((41.390628, -81.87897599999997), (41.5992668, -81.53274390000001))	Cleveland, OH, USA
Los Angeles	(34.0522342, -118.2436849)	((33.7036917, -118.6681759), (34.3373061, -118.1552891))	Los Angeles, CA, USA
Miami	(25.7889689, -80.22643929999998)	((25.709042, -80.3195991), (25.8556059, -80.14240029999996))	Miami, FL, USA
New York	(40.7143528, -74.0059731)	((40.495908, -74.2590879), (40.9152414, -73.7002721))	New York, NY, USA
Philadelphia	(39.952335, -75.16378900000001)	((39.8714701, -75.280303), (40.1379919, -74.95576289999997))	Philadelphia, PA, USA
San Francisco Bay Area	(37.7141454, -122.25)	((37.1073458, -123.024066), (38.320945, -121.46927490000002))	Bay Area, CA, USA
San Juan	(18.4663338, -66.1057217)	((18.329169, -66.12514090000002), (18.4720048, -65.99154199999998))	San Juan, Puerto Rico
Washington, D.C.	(38.8951118, -77.0363658)	((38.80310739999999, -77.11975899999999), (38.995548, -76.90939300000002))	Washington, DC, USA
Tashkent	(41.26666669999999, 69.21666670000002)	((41.14298429999999, 69.09713750000003), (41.3985579, 69.41222189999996))	Tashkent, Uzbekistan
Caracas	(10.491016, -66.902061)	((10.3958903, -67.04106339999998), (10.5399602, -66.71795329999998))	Caracas, Venezuela
Los Teques	(10.34214, -67.04032899999999)	((10.3261501, -67.07204819999998), (10.3706472, -67.01145170000001))	Los Teques, Venezuela
Maracaibo	(10.64504, -71.63715400000001)	((10.5025919, -71.77196500000002), (10.7645085, -71.58192159999999))	Maracaibo, Venezuela
Valencia	(39.4702393, -0.37680490000002465)	((39.2783813, -0.432544699999994), (39.5665876, -0.2725130999999692))	Valencia, Province of Valencia, Spain
